"Population_id";"Strain_id";"Temperature_C";"F0";"Fm";"Corrected_Fm";"FvFm"
"Goes";"Goes_8";22;0,0922;0,2539;0,286562513;0,678255194
"Goes";"Goes_26";22;0,1054;0,2721;0,304532121;0,653895295
"Goes";"Goes_22";22;0,1039;0,2559;0,286401212;0,637222206
"Goes";"Goes_5";22;0,1103;0,2882;0,322551111;0,658038692
"Goes";"Goes_2";22;0,1015;0,2534;0,283603232;0,642105631
"Goes";"Goes_23";22;0,1108;0,2897;0,324229899;0,658267173
"Goes";"Goes_12";22;0,1152;0,2966;0,331952323;0,652962212
"Goes";"Goes_10";22;0,1132;0,2373;0,265584242;0,573769893
"Goes";"Goes_17";22;0,1025;0,2848;0,318745859;0,678427194
"Goes";"Goes_31";22;0,1064;0,2417;0,270508687;0,606666975
"Goes";"Goes_19";24;0,0931;0,2623;0,296043116;0,685518781
"Goes";"Goes_21";24;0,0971;0,2544;0,287126834;0,661821925
"Goes";"Goes_28";24;0,11715;0,2855;0,322227638;0,636437145
"Goes";"Goes_13";24;0,1059;0,2613;0,294914472;0,640912841
"Goes";"Goes_14";24;0,0985;0,25;0,282160804;0,650908281
"Goes";"Goes_9";24;0,0784;0,224;0,25281608;0,689893143
"Goes";"Goes_11";24;0,1147;0,2735;0,30868392;0,628422497
"Goes";"Goes_29";24;0,1123;0,2912;0,328660905;0,65831044
"Goes";"Goes_31";24;0,1157;0,3054;0,341801212;0,661499152
"Goes";"Goes_2";24;0,1044;0,2515;0,281476768;0,629099052
"Goes";"Goes_5";24;0,1029;0,2887;0,323110707;0,681533302
"Goes";"Goes_22";24;0,1039;0,2909;0,325572929;0,680870273
"Goes";"Goes_10";24;0,1049;0,2515;0,281476768;0,627322706
"Goes";"Goes_26";24;0,1029;0,2775;0,310575758;0,668679871
"Goes";"Goes_12";24;0,1049;0,2574;0,28808;0,635865037
"Goes";"Goes_30";24;0,1049;0,3054;0,341801212;0,693096466
"Goes";"Goes_17";24;0,1054;0,2294;0,256742626;0,589472144
"Goes";"Goes_23";24;0,1044;0,2627;0,294011717;0,644912111
"Goes";"Goes_8";26;0,0858;0,2583;0,291528543;0,705689195
"Goes";"Goes_13";26;0,0775;0,226;0,255073367;0,696165848
"Goes";"Goes_6";26;0,0819;0,2176;0,245592764;0,666521119
"Goes";"Goes_11";26;0,0912;0,2637;0,297623216;0,693572292
"Goes";"Goes_28";26;0,099;0,2892;0,326403618;0,696694539
"Goes";"Goes_9";26;0,0956;0,248;0,279903518;0,658453739
"Goes";"Goes_14";26;0,1039;0,2897;0,32696794;0,682231842
"Goes";"Goes_21";26;0,0779;0,2284;0,257782111;0,697806803
"Goes";"Goes_29";26;0,1167;0,3059;0,34525196;0,661985988
"Goes";"Goes_22";26;0,0995;0,2696;0,301734141;0,670239504
"Goes";"Goes_26";26;0,0985;0,2725;0,304979798;0,677027788
"Goes";"Goes_12";26;0,0799;0,2025;0,226636364;0,647452868
"Goes";"Goes_30";26;0,0995;0,2951;0,330273535;0,698734566
"Goes";"Goes_31";26;0,1142;0,3235;0,362058586;0,684581434
"Goes";"Goes_2";26;0;0;0;0
"Goes";"Goes_17";26;0,0784;0,223;0,249579798;0,685872011
"Goes";"Goes_5";26;0,0951;0,2613;0,292444848;0,67481048
"Goes";"Goes_10";26;0,0907;0,2544;0,284722424;0,681444128
"Goes";"Goes_23";26;0,0985;0,2799;0,313261818;0,685566532
"Goes";"Goes_9";28;0;0;0;0
"Goes";"Goes_21";28;0,0686;0,1681;0,189724925;0,638423891
"Goes";"Goes_14";28;0,0623;0,1858;0,20970191;0,702911623
